,age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference,xi_co2,omega_co2,alpha_co2
208,13.8,NA,NA,190,mean,143,237,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",189.8842644,47.26207281,0.003069131
209,14.4,NA,NA,132,mean,86,178,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",131.8945221,46.2564784,0.00285792
210,14.7,NA,NA,74,mean,50,97,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",65.39413674,24.98971943,0.445007
211,15.1,NA,NA,182,mean,131,233,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",181.8760809,51.28437283,0.00302841
212,15.6,NA,NA,473,mean,425,521,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",472.8883357,48.26763328,0.002899476
213,16,NA,NA,333,mean,281,385,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",333.1276667,52.28995197,-0.003059997
214,16.1,NA,NA,289,mean,231,346,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",273.8309716,59.6577249,0.32395634
215,95.3,100.5,90,1307,mean,654,2614,1,skew_normal,paleosols,"Leier et al., 2009",2516.037965,1328.353773,-1.490444403
216,113.4,126.3,100.5,591,mean,296,1182,1,skew_normal,paleosols,"Leier et al., 2009",1137.898817,600.5925545,-1.491621978
217,200.4,NA,NA,1664,mean,832,3328,1,skew_normal,paleosols,"Schaller et al., 2011",3202.825911,1691.333208,-1.489473223
218,200.5,NA,NA,2087,mean,1044,4175,1,skew_normal,paleosols,"Schaller et al., 2011",4018.644134,2122.067339,-1.490689174
219,200.9,NA,NA,3515,mean,1758,7031,1,skew_normal,paleosols,"Schaller et al., 2011",6767.223197,3573.524009,-1.490195185
220,200.9,NA,NA,3294,mean,1647,6588,1,skew_normal,paleosols,"Schaller et al., 2011",6340.209467,3348.107924,-1.489473223
221,200.9,NA,NA,1299,mean,650,2599,1,skew_normal,paleosols,"Schaller et al., 2011",2501.921144,1321.12342,-1.491426789
222,201,NA,NA,1571,mean,785,3141,1,skew_normal,paleosols,"Schaller et al., 2011",3022.182953,1596.019458,-1.487857866
223,201.1,NA,NA,2472,mean,1236,4944,1,skew_normal,paleosols,"Schaller et al., 2011",4758.044263,2512.605583,-1.489473223
224,201.1,NA,NA,1761,mean,881,3523,1,skew_normal,paleosols,"Schaller et al., 2011",3391.16738,1790.712375,-1.490914272
225,201.2,NA,NA,2307,mean,1153,4613,1,skew_normal,paleosols,"Schaller et al., 2011",4438.81759,2344.109195,-1.488373215
226,201.2,NA,NA,2009,mean,1005,4019,1,skew_normal,paleosols,"Schaller et al., 2011",3868.511661,2042.786091,-1.490736384
227,201.2,NA,NA,2438,mean,1219,4876,1,skew_normal,paleosols,"Schaller et al., 2011",4692.601906,2478.047092,-1.489473223
228,201.2,NA,NA,2677,mean,1338,5353,1,skew_normal,paleosols,"Schaller et al., 2011",5150.984439,2720.186906,-1.488525253
229,201.2,NA,NA,2700,mean,1350,5400,1,skew_normal,paleosols,"Schaller et al., 2011",5196.893005,2744.350758,-1.489473223
230,201.2,NA,NA,2713,mean,1357,5427,1,skew_normal,paleosols,"Schaller et al., 2011",5223.553456,2758.350171,-1.490408606
231,201.2,NA,NA,2823,mean,1411,5645,1,skew_normal,paleosols,"Schaller et al., 2011",5432.001626,2868.585136,-1.48857428
232,201.3,NA,NA,2302,mean,1151,4604,1,skew_normal,paleosols,"Schaller et al., 2011",4430.832481,2339.813127,-1.489473223
233,201.3,NA,NA,2385,mean,1192,4769,1,skew_normal,paleosols,"Schaller et al., 2011",4588.950062,2423.390442,-1.488409191
234,201.4,NA,NA,2389,mean,1195,4779,1,skew_normal,paleosols,"Schaller et al., 2011",4599.92627,2429.028068,-1.490535463
235,201.5,NA,NA,2819,mean,1409,5637,1,skew_normal,paleosols,"Schaller et al., 2011",5424.302525,2864.519431,-1.488573005
236,201.5,NA,NA,2956,mean,1478,5912,1,skew_normal,paleosols,"Schaller et al., 2011",5689.635453,3004.555867,-1.489473223
237,201.5,NA,NA,710,mean,355,1420,1,skew_normal,paleosols,"Schaller et al., 2011",1366.590383,721.6626066,-1.489473223
238,201.7,NA,NA,1191,mean,596,2383,1,skew_normal,paleosols,"Schaller et al., 2011",2294.04539,1211.349373,-1.491603937
239,201.8,NA,NA,1495,mean,747,2989,1,skew_normal,paleosols,"Schaller et al., 2011",2875.900022,1518.771059,-1.487775747
240,201.9,NA,NA,1502,mean,751,3004,1,skew_normal,paleosols,"Schaller et al., 2011",2891.012331,1526.672162,-1.489473223
241,202.1,NA,NA,1509,mean,754,3017,1,skew_normal,paleosols,"Schaller et al., 2011",2902.846878,1533.001027,-1.487791496
242,202.2,NA,NA,1065,mean,532,2129,1,skew_normal,paleosols,"Schaller et al., 2011",2048.246559,1081.707726,-1.487090372
243,202.5,NA,NA,1613,mean,806,3225,1,skew_normal,paleosols,"Schaller et al., 2011",3103.023519,1638.709363,-1.487899928
244,203,NA,NA,1487,mean,744,2975,1,skew_normal,paleosols,"Schaller et al., 2011",2863.778927,1512.21157,-1.491179803
245,203.1,NA,NA,1298,mean,649,2596,1,skew_normal,paleosols,"Schaller et al., 2011",2498.358193,1319.321216,-1.489473223
246,203.6,NA,NA,1021,mean,511,2043,1,skew_normal,paleosols,"Schaller et al., 2011",1966.83354,1038.556884,-1.491958704
247,203.7,NA,NA,1855,mean,927,3709,1,skew_normal,paleosols,"Schaller et al., 2011",3568.819154,1884.684524,-1.488105179
248,203.9,NA,NA,983,mean,492,1967,1,skew_normal,paleosols,"Schaller et al., 2011",1893.692064,999.9326795,-1.492054785
249,211.9,NA,NA,1183,mean,592,2367,1,skew_normal,paleosols,"Schaller et al., 2012",2278.647186,1203.217962,-1.491618345
250,211.9,NA,NA,1135,mean,568,2271,1,skew_normal,paleosols,"Schaller et al., 2012",2186.257959,1154.429495,-1.491709063
251,211.9,NA,NA,1479,mean,739,2957,1,skew_normal,paleosols,"Schaller et al., 2012",2845.103616,1502.508238,-1.487757384
252,211.9,NA,NA,1376,mean,688,2752,1,skew_normal,paleosols,"Schaller et al., 2012",2648.490658,1398.60246,-1.489473223
253,205,NA,NA,1377,mean,688,2753,1,skew_normal,paleosols,"Schaller et al., 2012",2648.776522,1398.832753,-1.487630283
254,201.3,NA,NA,3457,mean,1729,6915,1,skew_normal,paleosols,"Schaller et al., 2012",6655.586234,3514.571288,-1.490207298
255,201.2,NA,NA,2049,mean,1025,4099,1,skew_normal,paleosols,"Schaller et al., 2012",3945.502673,2083.443141,-1.490711725
256,200.8,NA,NA,1499,mean,750,2999,1,skew_normal,paleosols,"Schaller et al., 2012",2886.876232,1524.408685,-1.491166141
257,200.8,NA,NA,3649,mean,1824,7297,1,skew_normal,paleosols,"Schaller et al., 2012",7021.86597,3708.153202,-1.488777769
258,200.8,NA,NA,1987,mean,993,3973,1,skew_normal,paleosols,"Schaller et al., 2012",3822.889496,2018.852792,-1.488196061
259,200.8,NA,NA,2353,mean,1177,4707,1,skew_normal,paleosols,"Schaller et al., 2012",4530.634361,2392.436723,-1.490551715
260,200.8,NA,NA,2927,mean,1464,5855,1,skew_normal,paleosols,"Schaller et al., 2012",5635.455359,2975.865386,-1.490340218
261,200.8,NA,NA,3012,mean,1506,6024,1,skew_normal,paleosols,"Schaller et al., 2012",5797.422864,3061.475734,-1.489473223
262,200.7,NA,NA,2383,mean,1191,4765,1,skew_normal,paleosols,"Schaller et al., 2012",4585.100511,2421.35759,-1.488408298
263,200.7,NA,NA,1818,mean,909,3636,1,skew_normal,paleosols,"Schaller et al., 2012",3499.24129,1847.862843,-1.489473223
264,200.7,NA,NA,2013,mean,1006,4025,1,skew_normal,paleosols,"Schaller et al., 2012",3872.933654,2045.279875,-1.488212557
265,200.7,NA,NA,1874,mean,937,3748,1,skew_normal,paleosols,"Schaller et al., 2012",3607.028701,1904.782711,-1.489473223
266,200.7,NA,NA,2303,mean,1152,4607,1,skew_normal,paleosols,"Schaller et al., 2012",4434.395597,2341.615411,-1.49057513
267,200.7,NA,NA,1992,mean,996,3984,1,skew_normal,paleosols,"Schaller et al., 2012",3834.152173,2024.721003,-1.489473223
268,200.6,NA,NA,2048,mean,1024,4096,1,skew_normal,paleosols,"Schaller et al., 2012",3941.939583,2081.640871,-1.489473223
269,200.6,NA,NA,1545,mean,772,3089,1,skew_normal,paleosols,"Schaller et al., 2012",2972.138792,1569.592374,-1.487830682
270,200.6,NA,NA,2187,mean,1093,4373,1,skew_normal,paleosols,"Schaller et al., 2012",4207.844556,2222.138044,-1.488312858
271,200.6,NA,NA,1469,mean,735,2939,1,skew_normal,paleosols,"Schaller et al., 2012",2829.13297,1493.915896,-1.491200714
272,200.6,NA,NA,1697,mean,848,3393,1,skew_normal,paleosols,"Schaller et al., 2012",3264.704649,1724.089172,-1.487977806
273,200.5,NA,NA,2997,mean,1499,5995,1,skew_normal,paleosols,"Schaller et al., 2012",5770.189626,3047.015222,-1.490319968
274,200.5,NA,NA,2750,mean,1375,5500,1,skew_normal,paleosols,"Schaller et al., 2012",5293.131765,2795.172068,-1.489473223
275,200.5,NA,NA,3395,mean,1697,6789,1,skew_normal,paleosols,"Schaller et al., 2012",6532.973062,3449.980941,-1.488725738
276,200.4,NA,NA,1921,mean,961,3843,1,skew_normal,paleosols,"Schaller et al., 2012",3699.131433,1953.340579,-1.490794248
277,200.4,NA,NA,2002,mean,1001,4004,1,skew_normal,paleosols,"Schaller et al., 2012",3853.399925,2034.885265,-1.489473223
278,200.4,NA,NA,997,mean,499,1995,1,skew_normal,paleosols,"Schaller et al., 2012",1920.638924,1014.16265,-1.492018534
279,200.4,NA,NA,1411,mean,706,2823,1,skew_normal,paleosols,"Schaller et al., 2012",2717.495995,1434.963169,-1.491271723
280,200.3,NA,NA,1766,mean,883,3532,1,skew_normal,paleosols,"Schaller et al., 2012",3399.152981,1795.008681,-1.489473223
281,200.3,NA,NA,1811,mean,905,3621,1,skew_normal,paleosols,"Schaller et al., 2012",3484.129039,1839.961768,-1.488071941
282,200.2,NA,NA,1019,mean,509,2037,1,skew_normal,paleosols,"Schaller et al., 2012",1959.706879,1034.95211,-1.486982803
283,200.2,NA,NA,610,mean,305,1220,1,skew_normal,paleosols,"Schaller et al., 2012",1174.112864,620.019986,-1.489473223
284,199.8,NA,NA,523,mean,262,1047,1,skew_normal,paleosols,"Schaller et al., 2012",1008.295041,532.3764123,-1.494325333
285,199,NA,NA,1179,mean,589,2357,1,skew_normal,paleosols,"Schaller et al., 2012",2267.670975,1197.580335,-1.487320778
286,127.9,129.4,126.3,393,mean,234,551,1,skew_normal,paleosols,"Huang et al., 2012",363.7198197,161.9649567,0.228449554
287,137.9,139.4,136.4,174,mean,76,272,1,skew_normal,paleosols,"Huang et al., 2012",173.7520481,98.54646616,0.003153464
288,143.5,145,142,232,mean,92,372,1,skew_normal,paleosols,"Huang et al., 2012",232.3726087,140.7807135,-0.003317201
289,83,NA,NA,1522,mean,761,3044,1,skew_normal,paleosols,"Hong & Lee, 2012",2929.507835,1547.000686,-1.489473223
290,98,NA,NA,1520,mean,760,3040,1,skew_normal,paleosols,"Hong & Lee, 2012",2925.658285,1544.967834,-1.489473223
291,100.5,NA,NA,1368,mean,684,2736,1,skew_normal,paleosols,"Hong & Lee, 2012",2633.092456,1390.471051,-1.489473223
292,102,NA,NA,1428,mean,714,2856,1,skew_normal,paleosols,"Hong & Lee, 2012",2748.578967,1451.456623,-1.489473223
293,103.5,NA,NA,1060,mean,530,2120,1,skew_normal,paleosols,"Hong & Lee, 2012",2040.261698,1077.411779,-1.489473223
294,113.5,NA,NA,449,mean,225,898,1,skew_normal,paleosols,"Hong & Lee, 2012",864.5806752,456.2600013,-1.492302289
295,157.8,163.5,152.1,558,mean,279,1115,1,skew_normal,paleosols,"Gutierrez & Sheldon, 2012",1072.74267,566.2645231,-1.487197228
296,5.5,6.1,4.9,222,median,112,524,1,skew_normal,paleosols,"Cotton & Sheldon, 2012  (updated by Breecker & Retallack, 2014)",528.0767579,296.2324561,-1.896548683
297,50.5,50.5,50.4,684,mean,574,807,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",746.2917043,129.8747437,-0.638997587
298,50.7,50.8,50.7,397,mean,246,533,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",322.2999044,159.3148777,0.622890427
299,50.9,50.9,50.8,178,mean,109,246,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",161.0227224,70.83035117,0.304815885
300,51.1,51.2,51.1,1285,mean,1026,1532,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",1188.467145,270.1268932,0.462908715
301,51.2,51.3,51.2,1354,mean,1258,1450,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",1354.257814,96.53535252,-0.003347202
302,51.4,51.4,51.3,971,mean,834,1108,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",970.9164766,137.7635268,0.000759861
303,51.5,51.5,51.4,1709,mean,1436,2000,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",1829.606833,304.8879279,-0.516396022
304,51.5,51.6,51.5,1299,mean,1067,1491,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",1157.310623,245.8694547,0.790901319
305,51.8,51.8,51.7,903,mean,738,1067,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",872.9995313,168.030712,0.225573563
306,52,52,51.9,301,mean,219,383,1,skew_normal,paleosols,"Hyland & Sheldon, 2013",301.2127234,82.45726063,-0.003233316
307,63.6,NA,NA,235,mean,188,281,1,skew_normal,paleosols,"Huang et al., 2013",221.7591709,48.46975928,0.348948771
308,63.7,NA,NA,212,mean,148,276,1,skew_normal,paleosols,"Huang et al., 2013",212.1777645,64.35691772,-0.003461878
309,64.6,NA,NA,200,mean,144,255,1,skew_normal,paleosols,"Huang et al., 2013",185.1717118,57.62483807,0.327983691
310,64.7,NA,NA,289,mean,188,390,1,skew_normal,paleosols,"Huang et al., 2013",289.2628722,101.5632135,-0.003243919
311,64.9,NA,NA,175,mean,127,223,1,skew_normal,paleosols,"Huang et al., 2013",174.8776554,48.26765919,0.003176802
312,65,NA,NA,357,mean,260,455,1,skew_normal,paleosols,"Huang et al., 2013",378.3333846,100.2370874,-0.269814816
313,65.1,NA,NA,278,mean,200,355,1,skew_normal,paleosols,"Huang et al., 2013",259.6145438,79.96298299,0.292053465
314,65.2,NA,NA,360,mean,189,532,1,skew_normal,paleosols,"Huang et al., 2013",390.8298301,175.1064463,-0.222392885
315,65.4,NA,NA,298,mean,196,399,1,skew_normal,paleosols,"Huang et al., 2013",276.1022855,104.2891592,0.266109201
316,66.5,NA,NA,492,mean,395,588,1,skew_normal,paleosols,"Huang et al., 2013",470.8088956,99.2239422,0.270773774
317,68.3,NA,NA,175,mean,102,248,1,skew_normal,paleosols,"Huang et al., 2013",174.8265164,73.40703422,0.00296198
318,52.8,52.9,52.7,400,mean,275,530,1,skew_normal,paleosols,"Hyland et al., 2013",445.280381,135.1946327,-0.43206078
319,52.6,52.7,52.5,750,mean,630,880,1,skew_normal,paleosols,"Hyland et al., 2013",808.4240462,136.6633637,-0.562093046
320,51.9,52,51.8,1260,mean,1075,1440,1,skew_normal,paleosols,"Hyland et al., 2013",1203.247066,191.4001334,0.380073941
321,51.8,51.9,51.7,1210,mean,1030,1400,1,skew_normal,paleosols,"Hyland et al., 2013",1284.198933,198.5608732,-0.485601879
322,51.1,51.2,51,725,mean,640,800,1,skew_normal,paleosols,"Hyland et al., 2013",680.1657664,89.86141327,0.668281422
323,135.7,145,126.3,924,mean,462,1847,1,skew_normal,paleosols,"Mortazavi et al., 2013",1777.210476,938.276557,-1.488099253
324,31.6,35.5,27.7,265,mean,132,529,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Srivastava et al., 2013",508.4250055,268.5660813,-1.479896384
325,31.6,35.5,27.7,377,mean,188,754,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Srivastava et al., 2013",725.2830304,383.3077548,-1.486111964
326,253.2,254.2,252.2,1325,mean,663,2650,1,skew_normal,paleosols,"Gastaldo et al., 2014",2550.68392,1346.649446,-1.490431205
327,253.2,254.2,252.2,1100,mean,550,2200,1,skew_normal,paleosols,"Gastaldo et al., 2014",2117.252706,1118.068827,-1.489473223
328,253.2,254.2,252.2,883,mean,442,1766,1,skew_normal,paleosols,"Gastaldo et al., 2014",1699.933241,897.3890401,-1.490911006
329,6.4,NA,NA,213,median,118,376,1,skew_normal,paleosols,"Breecker & Retallack, 2014",353.5098475,168.5130038,-1.293856587
330,6.7,NA,NA,283,median,154,531,1,skew_normal,paleosols,"Breecker & Retallack, 2014",508.7249965,253.2018449,-1.439287391
331,6.8,NA,NA,372,median,227,663,1,skew_normal,paleosols,"Breecker & Retallack, 2014",641.4660476,295.6645888,-1.493840965
332,8.8,NA,NA,274,median,173,476,1,skew_normal,paleosols,"Breecker & Retallack, 2014",460.8045878,205.3180937,-1.489473223
333,9.1,NA,NA,197,median,90,485,1,skew_normal,paleosols,"Breecker & Retallack, 2014",487.625512,283.1097719,-1.870518868
334,12.7,NA,NA,267,median,131,624,1,skew_normal,paleosols,"Breecker & Retallack, 2014",625.2102483,351.9031991,-1.837759765
335,13.7,NA,NA,101,median,31,272,1,skew_normal,paleosols,"Breecker & Retallack, 2014",269.5573212,169.9109095,-1.744545663
336,17.5,NA,NA,261,median,125,609,1,skew_normal,paleosols,"Breecker & Retallack, 2014",608.0712078,344.0003826,-1.804529998
337,17.8,NA,NA,237,median,73,1017,1,skew_normal,paleosols,"Breecker & Retallack, 2014",1092.787295,725.7937376,-2.676490522
338,18,NA,NA,160,median,47,694,1,skew_normal,paleosols,"Breecker & Retallack, 2014",745.5315412,497.1526644,-2.666586469
339,18.2,NA,NA,274,median,183,400,1,skew_normal,paleosols,"Breecker & Retallack, 2014",366.6450497,132.8453293,-1.004705094
340,23,NA,NA,203,median,97,493,1,skew_normal,paleosols,"Breecker & Retallack, 2014",496.6926196,284.5698767,-1.891936782
341,100.8,NA,NA,763,mean,382,1526,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1468.960196,775.4178847,-1.491137279
342,102.4,NA,NA,621,mean,310,1242,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1194.928304,631.3158113,-1.487431605
343,103.1,NA,NA,792,mean,396,1584,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1524.421948,805.0095556,-1.489473223
344,103.3,NA,NA,1052,mean,526,2104,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2024.863497,1069.280369,-1.489473223
345,104.6,NA,NA,1246,mean,623,2493,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2399.551449,1267.368199,-1.49049115
346,104.7,NA,NA,1139,mean,570,2278,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2192.67572,1157.594164,-1.490587712
347,104.8,NA,NA,1254,mean,627,2509,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2414.949651,1275.499609,-1.490484659
348,106.1,NA,NA,1399,mean,700,2798,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2693.117288,1421.864987,-1.490380514
349,106.4,NA,NA,1474,mean,737,2949,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2838.400207,1499.113381,-1.49033375
350,106.5,NA,NA,1679,mean,840,3358,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",3232.054355,1706.464332,-1.490229165
351,106.6,NA,NA,1497,mean,748,2994,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2881.031484,1521.705224,-1.488625906
352,106.9,NA,NA,1496,mean,748,2992,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2879.46368,1520.573605,-1.489473223
353,107.8,NA,NA,1201,mean,600,2402,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2311.298008,1220.843057,-1.488417161
354,108.8,NA,NA,1015,mean,508,2030,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1954.003583,1031.557308,-1.490723933
355,110.3,NA,NA,1065,mean,532,2130,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2049.52857,1082.609087,-1.488282365
356,111.1,NA,NA,1637,mean,818,3274,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",3150.500017,1664.004897,-1.488698349
357,111.5,NA,NA,1966,mean,983,3933,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",3785.38962,1999.195085,-1.490118455
358,111.8,NA,NA,1880,mean,940,3760,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",3618.577352,1910.881268,-1.489473223
359,112.3,NA,NA,1829,mean,914,3658,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",3520.056861,1859.158732,-1.48877967
360,112.7,NA,NA,1419,mean,710,2838,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2731.612793,1442.193512,-1.490367722
361,113.8,NA,NA,1295,mean,648,2590,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2492.940662,1316.156659,-1.490453406
362,114.8,NA,NA,1514,mean,757,3029,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2915.391217,1539.770431,-1.490311023
363,114.9,NA,NA,1426,mean,713,2853,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2746.010995,1450.324922,-1.490362706
364,115.3,NA,NA,1367,mean,684,2734,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2631.52448,1389.339348,-1.490401761
365,116.1,NA,NA,1666,mean,833,3331,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",3205.393724,1692.464831,-1.488711376
366,117.8,NA,NA,1364,mean,682,2728,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2625.393355,1386.405346,-1.489473223
367,123.3,NA,NA,736,mean,368,1472,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1416.634538,748.089688,-1.489473223
368,123.6,NA,NA,607,mean,304,1214,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1168.695226,616.8553764,-1.491565293
369,123.7,NA,NA,824,mean,412,1648,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1586.014754,837.5351942,-1.489473223
370,123.8,NA,NA,1018,mean,509,2035,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1958.139355,1033.820626,-1.488226186
371,126.4,NA,NA,1065,mean,532,2130,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2049.52857,1082.609087,-1.488282365
372,126.6,NA,NA,1510,mean,755,3019,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",2905.128787,1533.902339,-1.488632642
373,127.5,NA,NA,1704,mean,852,3408,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",3279.816919,1731.990256,-1.489473223
374,129.8,NA,NA,940,mean,470,1880,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1809.288676,955.4406341,-1.489473223
375,130.2,NA,NA,1023,mean,512,2046,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1969.401786,1039.688718,-1.490714147
376,130.8,NA,NA,842,mean,421,1685,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",1621.942226,856.7319886,-1.490979269
377,131.3,NA,NA,1910,mean,955,3819,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",3675.038879,1940.47283,-1.488808727
378,132,NA,NA,2562,mean,1281,5123,1,"skew_normal; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",paleosols,"Li et al., 2014",4929.992317,2603.182725,-1.488977867
